_id,bestsellers_date,published_date,amazon_product_url,author,description,price,publisher,title,rank,rank_last_week,weeks_on_list,l_author,l_title,book_id
5b4aa4ead3089013507db49a,2009-02-21,2009-03-08,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,"Aliens have taken control of the minds and bodies of most human beings, but one woman won’t surrender.",25.99,"Little, Brown",THE HOST,4,3,41,stepheniemeyer,thehost,stepheniemeyer_thehost
5b4aa4ead3089013507db49b,2009-02-21,2009-03-08,http://www.amazon.com/Fool-A-Novel-Christopher-Moore/dp/0060590327?tag=NYTBS-20,Christopher Moore,"King Lear’s fool tries to set things right in this comic, bawdy version.",26.99,Morrow,FOOL,5,4,2,christophermoore,fool,christophermoore_fool
5b4aa4ead3089013507db49c,2009-02-21,2009-03-08,http://www.amazon.com/Guernsey-Literary-Potato-Peel-Society/dp/0385340990?tag=NYTBS-20,Mary Ann Shaffer and Annie Barrows,A journalist travels to the island of Guernsey to meet residents who resisted the Nazi occupation.,22,Dial,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,6,8,23,maryannshafferandanniebarrows,theguernseyliteraryandpotatopeelpiesociety,maryannshafferandanniebarrows_theguernseyliteraryandpotatopeelpiesociety
5b4aa4ead3089013507db49d,2009-02-21,2009-03-08,http://www.amazon.com/Dog-It-Bernie-Mystery-Mysteries/dp/1416585834?tag=NYTBS-20,Spencer Quinn,An all-too-human private investigator has a canine sidekick.,25,Atria,DOG ON IT,7,0,1,spencerquinn,dogonit,spencerquinn_dogonit
5b4aa4ead3089013507db49e,2009-02-21,2009-03-08,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,A mute takes refuge with three dogs in the Wisconsin woods after his father’s death.,25.95,Ecco,THE STORY OF EDGAR SAWTELLE,8,7,37,davidwroblewski,thestoryofedgarsawtelle,davidwroblewski_thestoryofedgarsawtelle
5b4aa4ead3089013507db49f,2009-02-21,2009-03-08,http://www.amazon.com/Among-Mad-Maisie-Dobbs-Book/dp/0312429258?tag=NYTBS-20,Jacqueline Winspear,Maisie Dobbs is involved in a hunt for a man who promises to wreak destruction on London.,25,Holt,AMONG THE MAD,9,0,1,jacquelinewinspear,amongthemad,jacquelinewinspear_amongthemad
5b4aa4ead3089013507db4a0,2009-02-21,2009-03-08,http://www.amazon.com/True-Colors-Kristin-Hannah/dp/0312606125?tag=NYTBS-20,Kristin Hannah,"Rivalries, betrayal and forgiveness among three sisters.",25.95,St. Martin's,TRUE COLORS,10,6,3,kristinhannah,truecolors,kristinhannah_truecolors
5b4aa4ead3089013507db4a1,2009-02-21,2009-03-08,http://www.amazon.com/The-Women-T-C-Boyle/dp/0670020419?tag=NYTBS-20,T C Boyle,The loves of Frank Lloyd Wright.,27.95,Viking,THE WOMEN,11,12,2,tcboyle,thewomen,tcboyle_thewomen
5b4aa4ead3089013507db4a2,2009-02-21,2009-03-08,http://www.amazon.com/Bone-Crossed-Mercy-Thompson-Book/dp/0441016766?tag=NYTBS-20,Patricia Briggs,A shapeshifter who works as an auto mechanic in Washington State is menaced by a vampire.,24.95,Ace,BONE CROSSED,12,5,3,patriciabriggs,bonecrossed,patriciabriggs_bonecrossed
5b4aa4ead3089013507db4a3,2009-02-21,2009-03-08,http://www.amazon.com/Very-Valentine-Novel-Adriana-Trigiani/dp/0061257052?tag=NYTBS-20,Adriana Trigiani,An Italian-American shoemaker and her grandmother return to Italy to learn new techniques; the first book in a trilogy.,25.99,Harper,VERY VALENTINE,13,10,3,adrianatrigiani,veryvalentine,adrianatrigiani_veryvalentine
5b4aa4ead3089013507db4a4,2009-02-21,2009-03-08,http://www.amazon.com/While-Sister-Sleeps-Barbara-Delinsky/dp/0767928954?tag=NYTBS-20,Barbara Delinsky,A woman makes discoveries about her sister and herself when the sister becomes gravely ill.,25.95,Doubleday,WHILE MY SISTER SLEEPS,14,0,1,barbaradelinsky,whilemysistersleeps,barbaradelinsky_whilemysistersleeps
5b4aa4ead3089013507db4a5,2009-02-21,2009-03-08,http://www.amazon.com/Lethal-Legacy-Linda-Fairstein/dp/0385523998?tag=NYTBS-20,Linda Fairstein,"Alexandra Cooper, a Manhattan assistant district attorney, tracks items stolen from the New York Public Library.",26,Doubleday,LETHAL LEGACY,15,0,1,lindafairstein,lethallegacy,lindafairstein_lethallegacy
5b4aa4ead3089013507db4a6,2009-02-21,2009-03-08,http://www.amazon.com/Plum-Spooky-Stephanie-Between-Numbers/dp/142720599X?tag=NYTBS-20,Janet Evanovich,"The bounty hunter Stephanie Plum hunts an evil genius and his sidekick, who are hiding in New Jersey’s Pine Barrens.",27.95,St. Martin's,PLUM SPOOKY,16,9,7,janetevanovich,plumspooky,janetevanovich_plumspooky
5b4aa4ead3089013507db4a7,2009-02-21,2009-03-08,http://www.amazon.com/Cutting-Stone-novel-Abraham-Verghese/dp/0375414495?tag=NYTBS-20,Abraham Verghese,"Twin brothers, conjoined and then separated, grow up amid the political turmoil of Ethiopia.",0,Knopf,CUTTING FOR STONE,17,0,0,abrahamverghese,cuttingforstone,abrahamverghese_cuttingforstone
5b4aa4ead3089013507db4a8,2009-02-21,2009-03-08,http://www.amazon.com/Drood-A-Novel-Dan-Simmons/dp/0316007021?tag=NYTBS-20,Dan Simmons,,0,"Little, Brown",DROOD,18,0,0,dansimmons,drood,dansimmons_drood
5b4aa4ead3089013507db4a9,2009-02-21,2009-03-08,http://www.amazon.com/The-Second-Opinion-Michael-Palmer/dp/0312343558?tag=NYTBS-20,Michael Palmer,A Boston doctor is the target of a plot that begins with a staged hit-and-run accident that nearly kills him.,0,St. Martin's,SECOND OPINION,19,0,0,michaelpalmer,secondopinion,michaelpalmer_secondopinion
